,electricity,natural_gas,fuel_oil,vehicle_miles,housing_fp,county_total_fp
427,10821.0,33208.0,1,22683,12.2,2318308
428,8883.0,40743.0,3,22495,10.8,2275310
429,10328.0,33107.0,2,21443,11.8,1277140
430,10950.0,37768.0,,24896,12.6,497205
431,11221.0,39124.0,1,26693,12.9,184427
432,10750.0,24540.0,3,17148,11.2,579565
433,11854.0,27320.0,0,22110,12.7,60133507
434,10812.0,28772.0,1,21539,11.8,3436496
435,9005.0,33269.0,1,19505,9.9,1987588
436,11920.0,29407.0,0,21105,12.6,16674847
437,11088.0,27508.0,1,20927,11.9,3568112
438,10872.0,31181.0,0,24596,12.0,659230
439,11500.0,31088.0,1,23874,12.5,3807391
440,11142.0,24283.0,1,18570,11.5,3157104
441,13880.0,38506.0,2,21656,13.2,418465
442,14122.0,36494.0,0,22573,13.1,489434
443,12045.0,32967.0,1,21084,11.7,804255
444,13582.0,39991.0,1,24254,17.5,3287688
445,12330.0,35109.0,2,23865,12.0,715987
446,12654.0,34718.0,2,20123,12.2,244642
447,13475.0,33283.0,4,21083,12.5,106192
448,12306.0,34585.0,1,23410,12.4,507912
449,13325.0,35529.0,3,18545,12.6,257013
450,13047.0,35437.0,,21755,12.4,478323
451,12891.0,38833.0,1,22544,12.5,368928
452,12839.0,30337.0,2,22075,12.0,591286
453,14099.0,29665.0,2,26057,12.7,172610
454,14250.0,38078.0,1,20481,13.3,521209
455,13702.0,33495.0,1,23980,12.6,379838
456,13516.0,39825.0,1,22039,13.0,1590241
457,13663.0,35900.0,1,24876,12.8,1022649
458,13354.0,40478.0,0,19369,12.9,856877
459,13346.0,35030.0,2,22463,12.6,354498
460,13042.0,35991.0,1,19844,12.4,181289
461,13351.0,35775.0,0,19310,12.6,291847
462,13003.0,34393.0,3,22373,12.3,335632
463,13537.0,34602.0,1,24282,12.6,1590145
464,14517.0,36965.0,0,25648,13.3,371905
465,11124.0,25125.0,5,24400,10.7,221312
466,12276.0,34685.0,1,19878,11.9,1971717
467,15199.0,36272.0,,27911,13.7,327043
468,12244.0,32074.0,1,23370,11.8,692208
469,14123.0,39174.0,1,21528,13.4,414413
470,14006.0,35041.0,2,24755,12.9,602272
471,14014.0,36385.0,1,22829,13.1,318317
472,13436.0,35191.0,1,24109,12.6,645377
473,11748.0,26342.0,,23065,11.1,285975
474,14280.0,41363.0,1,20611,13.5,299351
475,14310.0,40829.0,0,20458,13.5,1540362
476,13406.0,32856.0,0,23131,12.4,412254
